screen_name,location,lat,long
MALIKMIXFLOOR,"Lille, France",50.6365654,3.0635282
neelkantbakshi,earth,34.2331373,-102.4107493
iMonjitBora,"Assam, India",26.4073841,93.2551303
agencia_sinc,España,39.3262345,-4.8380649
NicoleJiam,San Francisco,37.7790262,-122.4199061
eduardoguti_,Madrid,40.4167047,-3.7035825
MRFuad111222,Dhaka Bangladesh,23.810651,90.4126466
laura_ceruti,genova,44.40726,8.9338624
laprovence,Marseille,43.2961743,5.3699525
thrillgeek,"Orlando, FL",28.5421109,-81.3790304
CroixRouge,France,46.603354,1.8883335
MsMariaT,"California, USA",36.7014631,-118.7559974
SCBriand,"Geneva, Switzerland",46.2017559,6.1466014
RED_XXI_Avila,"Ávila, Spain",40.656478,-4.7002172
meggiewalk,"London, Ontario Canada",42.9836747,-81.2496068
AKHallMD,"Kingston, Ontario",44.230687,-76.481323
abbymaxman,Boston,42.3602534,-71.0582912
lucarango88,Cassano allo Ionio  CS  ITA,NA,NA
Ruchiragupta,Onthego in  India  USA  world,NA,NA
Gris_Bunny,Anfield    Tropiconce  ,NA,NA
LibraryJournal,"New York, NY",40.7127281,-74.0060152
Salud_Hidalgo,"Hidalgo, México",20.5,-99
ucu,UK,54.7023545,-3.2765753
AwhadOffice,"Maharashtra, India",18.9068356,75.6741579
nagarkoti,Chandigarh   Uttarakhand ,NA,NA
HeartOTXHeartMD, OTX forChicagoLand   AxeEm ,NA,NA
MAS_Clinic,"Barcelona, Espanya",41.3828939,2.1774322
AffiliateTiki,TLV ISRAEL ,32.0027142,34.88091934223253
matendechero,"Nairobi, Kenya",-1.2832533,36.8172449
chdevoogd,"Paris, France",48.8566969,2.3514616
kuliscioff,italy,42.6384261,12.674297
flyingfrauds,"Gurgaon, India",28.42826235,77.00270014657752
lilicatadiaz,Colombia,2.8894434,-73.783892
Akash_SSMB,"Tirupati, India",13.6316368,79.4231711
BaskingSharkSco,"Oban, Scotland",56.415695,-5.4734688
CSojourner,FL Cong Dist  ,NA,NA
UAE_Forsan,United Arab Emirates  ,NA,NA
FederacionFAC,fac confac org,NA,NA
futurelawdigita,"Beaminster, Wessex England",NA,NA
FabienneLeMoal,Paris,48.8566969,2.3514616
ElPuebloPty,Panamá,8.559559,-81.1308434
alishervani,India,22.3511148,78.6677428
larazon_es,España,39.3262345,-4.8380649
TRTWorldNow,"Istanbul, Turkey",41.0096334,28.9651646
DrJ_3Club,On the nerves of racists,NA,NA
sumedico,México D F ,16.7323714,-93.1177512
News12CT,"Norwalk, CT",41.1175966,-73.4078968
ViejaGloria23,Twitterland,NA,NA
martta_3,"San Sebastián de los Reyes, Es",40.5473698,-3.6260586
edem_yawo,Paris,48.8566969,2.3514616
salvemosvalpo,Valparaíso Chile,-33.0458456,-71.6196749
wssstom,"Den Haag, Nederland",52.0799838,4.3113461
Contraloria_Hgo,"Pachuca de Soto, Hidalgo",20.1165413,-98.7413535
WLP_UK,London,51.5073219,-0.1276474
pdazan,www minsal cl,-16.5042566,-68.1316105
Prefet71,Saône-et-Loire,46.6557086,4.55855481835173
ICCROM,"Rome, Italy",41.8933203,12.4829321
NdunguWainaina,NAIROBI,-1.2832533,36.8172449
BlueInRedZion,"Utah, The Series of Tubes",NA,NA
Prodigi0_1,España,39.3262345,-4.8380649
awyliu,"London, UK",51.5073219,-0.1276474
fklivestolearn,Canada,61.0666922,-107.9917071
chanji_k,India,22.3511148,78.6677428
annietrev, Northumberland,55.25,-2.000559
MosojESG,London,51.5073219,-0.1276474
SudRadio,France,46.603354,1.8883335
ChrisDendys,"Ottawa, Ontario",45.421106,-75.690308
teacher_choice,New York,40.7127281,-74.0060152
arslanfida,"Dublin City, Ireland",53.3497645,-6.2602732
lariojacom,La Rioja,42.2814642,-2.482804975070473
SeishinNY,New York City,40.7127281,-74.0060152
debora_ergas,Italia,42.6384261,12.674297
DanielRosasH,"Distrito Federal, México",16.5904056,-93.027994
pharmacy_CAN,"Toronto, Ontario",43.6534817,-79.3839347
riktroiani,Rome,41.8933203,12.4829321
pejthomas,Ottawa,45.421106,-75.690308
talk2oleary,"Toronto, Ontario",43.6534817,-79.3839347
DLasAmericas,Florida,27.7567667,-81.4639835
RakyatMerdeka99,"Graha Pena, Kebayoran Lama  ",NA,NA
rtl1025,Italy,42.6384261,12.674297
jpaubrunet,Nantes,47.2186371,-1.5541362
wearethentia,London,51.5073219,-0.1276474
phoenix_de,Bonn/Berlin,-33.0480369,-71.576089
khaleejtimes,United Arab Emirates,24.0002488,53.9994829
iDemokratia,Ecrivain libre,NA,NA
InclusionLondon,"London, UK",51.5073219,-0.1276474
LivelawH,in,22.3511148,78.6677428
Matrixxmedia,Pakistan,30.3308401,71.247499
cornella20,Cornella,45.7446297,10.1458101
drg1985,Dublin / Oxford,53.3247249,-6.2577089
AUSTROHNGARO1,Djibouti,11.8145966,42.8453061
SamRespPT,"London, England",51.5073219,-0.1276474
MartheNagels,"Paris, France",48.8566969,2.3514616
surjit38,Hamirpur HP,31.7491333,76.5036832
SecuritySheep,"Stoke-on-Trent, England",53.0162014,-2.1812607
DongoMandy,"Johannesburg, South Africa",-26.205,28.049722
g_gosden,United Kingdom,54.7023545,-3.2765753
ConsultoresICG,"Caracas, Venezuela",10.506098,-66.9146017
DanielPilotte1,France ALLEZ L OM,NA,NA
SandyS_27,"Toronto, Ontario",43.6534817,-79.3839347
DanBacher,"Sacramento, California",38.5815719,-121.4943996
ordefk,"Washington, DC",38.8949855,-77.0365708
FDN_Oaxaca,"Oaxaca, México",17,-96.5
zacalminuto_mx,Zacatecas,23.0000001,-103.0000001
PanamaAmerica,Panamá,8.559559,-81.1308434
RealAndrewX1,"Vermont, USA",44.5990718,-72.5002608
VilleRamonville,Ramonville-Saint-Agne,43.5460533,1.4749101
PhilBroadhead,Bournemouth,50.7194784,-1.8767712
InLibertatem,Madrid   España ,36.4809284,-5.2404684
EveryMindInc,"Maryland, USA",39.5162234,-76.9382069
osuphantom,"Quincy, MA",42.2528772,-71.0022705
Warchand,"Québec, Canada",52.4760892,-71.8258668
DrTashaWyatt,"Augusta, GA",33.4709714,-81.9748429
ewanventers,London,51.5073219,-0.1276474
NorteSeguro2018,"Cúcuta, Colombia",7.8971458,-72.5080387
CheekForUtah,"Ogden, UT",41.2230048,-111.9738429
MovTodoPanama,Panama,8.559559,-81.1308434
najournalists,"Norman, OK",35.2225717,-97.4394816
tsanchezm12,Planeta Parto,NA,NA
PrimiciaSV_,El Salvador,13.8000382,-88.9140683
NuovoFaceMag,Roma,41.8933203,12.4829321
Swsarkar,India,22.3511148,78.6677428
ROMINA70672119,"Roma, Lazio",41.8852398,12.42065499455952
MuhammadKhursid,"Khar, Bajaur, Tribal Areas",34.7399114,71.5285048
Ann_M_Nguyen,New Jersey,40.0757384,-74.4041622
B1GMISTAKE,"Minnesota, USA",45.9896587,-94.6113288
CGTNEurope,Europe,51,10
aburnett_PharmD,"Albuquerque, NM",35.0841034,-106.6509851
ElUniversal_SLP,"San Luis Potosí, México",22.5000001,-100.5000001
OribaDan,"Gulu, Uganda",2.8763527,32.41905532894401
TLBoudell,"Virginia, USA",37.1232245,-78.4927721
AspenPolicyHub,"San Francisco, CA",46.8443248,-71.2743272
TimesNow,India,22.3511148,78.6677428
Babahoot4kids,"Herefordshire, England",52.083333,-2.75
KVacher13,Marseille,43.2961743,5.3699525
ubclifesciences,"Vancouver, Canada",49.2608724,-123.1139529
hele_fr,Seduta sulla riva del Tevere,NA,NA
HanPetersSA,"Pretoria, South Africa",-25.7459374,28.1879444
drlsullivan,"Northfleet, Kent",51.4459453,0.3239669
maryrhodestv,West Mids,52.5010765,-1.8747528
senrobportman,Ohio,40.2253569,-82.6881395
AJTMH,"Arlington, VA",38.8903961,-77.0841585
desurfalcon13,CZGNB-  FALCON,NA,NA
fomdes2020,"Mérida, Venezuela ",8.5875788,-71.1572352
FrancesMair,Scotland,56.7861112,-4.1140518
RajivKrishnaS,"Vijayawada, India",16.5087586,80.6185102
BrandDNA,Melbourne,-37.8142176,144.9631608
wayuutaya,"New York, NY",40.7127281,-74.0060152
MateuMirai,"Barcelona, Catalunya, PPCC",NA,NA
Aller_MD,Buenos Aires,-34.6075682,-58.4370894
bernamaradio,Kuala Lumpur,3.1516964,101.6942371
nortecastilla,España,39.3262345,-4.8380649
RamonGuevaraMRD,"Mérida, Venezuela",8.5875788,-71.1572352
Cest__Carre,France,46.603354,1.8883335
BluehandRising, USA,39.7837304,-100.4458825
MassimoSertori_,Regione lombardia,45.484845899999996,9.200942264373898
PrimerdesignLtd,"Southampton, UK",50.9025349,-1.404189
Midilibre,"Languedoc-Roussillon, France",43.65420305,3.674669940206605
EuprepioPadula,Madrid y el mundo,-33.463976099999996,-70.6338182
Marc_es,Barcelona,41.3828939,2.1774322
ACUEDUCTOSPR,"San Juan, Puerto Rico",18.465299,-66.116666
dna,India,22.3511148,78.6677428
Kiezkickerde,ThreemaID  KTMDF XC,NA,NA
KariTikkinen,"Helsinki, Finland",60.1674098,24.9425769
DrDarpanKaur,Mumbai,18.9387711,72.8353355
FranchiLiza,London,51.5073219,-0.1276474
Pedal_India,"Gurgaon, India",28.42826235,77.00270014657752
WoodfordinDK,"Faaborg, Denmark",55.097087,10.2428246
davidebaines,St Helens,53.4535471,-2.7343231
curtis_hutch,UK,54.7023545,-3.2765753
